epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.7044,1.43129,2.14828,1.10221,0.70597,0.13538,0.31138,0.19039,1.26965,2.3349,1.00783,0.000274713,0.000274713,0.000274713
2,42.2021,1.24855,1.18934,1.04437,0.51526,0.44208,0.44334,0.24013,1.32938,1.11495,1.0841,0.000546911,0.000546911,0.000546911
3,62.5281,1.21248,1.05514,1.0364,0.63084,0.40671,0.44803,0.26227,1.24787,1.17746,1.04833,0.000813611,0.000813611,0.000813611
4,83.0836,1.1892,0.95468,1.03389,0.59216,0.53196,0.55303,0.31906,1.19243,0.89806,1.04676,0.00080826,0.00080826,0.00080826
5,103.348,1.1539,0.87838,1.02226,0.68954,0.57531,0.62853,0.37311,1.14238,0.82657,1.02242,0.000800013,0.000800013,0.000800013
6,123.658,1.12166,0.83112,1.01019,0.6667,0.58091,0.62619,0.38568,1.10655,0.77661,0.99962,0.000791767,0.000791767,0.000791767
7,144.027,1.10023,0.78859,0.99979,0.63464,0.60197,0.62648,0.38784,1.06996,0.78772,0.99105,0.00078352,0.00078352,0.00078352
8,164.232,1.0775,0.76378,0.99271,0.70141,0.56228,0.62674,0.39625,1.08894,0.75275,1.00043,0.000775273,0.000775273,0.000775273
9,184.612,1.05437,0.73648,0.9865,0.70987,0.6365,0.69052,0.44107,1.03689,0.70974,0.98596,0.000767026,0.000767026,0.000767026
10,204.828,1.05028,0.724,0.98312,0.73289,0.6416,0.6889,0.44338,1.0111,0.67473,0.97534,0.00075878,0.00075878,0.00075878
11,224.979,1.0366,0.7099,0.9808,0.80242,0.57081,0.67538,0.44005,1.02594,0.68378,0.98358,0.000750533,0.000750533,0.000750533
12,245.365,1.02305,0.69461,0.9762,0.74137,0.62887,0.7029,0.43951,1.04207,0.68717,0.98913,0.000742286,0.000742286,0.000742286
13,265.638,1.01379,0.68623,0.97278,0.7732,0.6848,0.75802,0.48705,0.98875,0.64854,0.97174,0.00073404,0.00073404,0.00073404
14,285.896,1.00419,0.67387,0.96883,0.72785,0.667,0.73311,0.47164,1.00468,0.66063,0.98219,0.000725793,0.000725793,0.000725793
15,306.188,0.98979,0.6571,0.96509,0.79838,0.67427,0.75733,0.49522,0.97323,0.62389,0.96285,0.000717546,0.000717546,0.000717546
16,326.424,0.98146,0.6485,0.9604,0.77641,0.6769,0.7539,0.48429,0.99457,0.6263,0.97105,0.000709299,0.000709299,0.000709299
17,346.724,0.97845,0.64263,0.95901,0.83547,0.68605,0.78373,0.50435,0.93945,0.59611,0.95463,0.000701053,0.000701053,0.000701053
18,366.918,0.97203,0.63836,0.95761,0.79447,0.69507,0.77619,0.51444,0.94754,0.60377,0.95879,0.000692806,0.000692806,0.000692806
19,387.084,0.95866,0.62891,0.95435,0.81855,0.69508,0.782,0.51584,0.93882,0.59074,0.95555,0.000684559,0.000684559,0.000684559
20,407.443,0.95173,0.62226,0.95057,0.82583,0.67874,0.77873,0.51175,0.93434,0.58909,0.95764,0.000676313,0.000676313,0.000676313
21,427.613,0.93995,0.60996,0.94849,0.81041,0.68119,0.77172,0.51566,0.92623,0.58955,0.95165,0.000668066,0.000668066,0.000668066
22,447.807,0.93416,0.60629,0.94401,0.85732,0.6823,0.78712,0.53008,0.91162,0.57446,0.94623,0.000659819,0.000659819,0.000659819
23,468.131,0.92982,0.60207,0.94445,0.82587,0.69527,0.792,0.53421,0.92708,0.58056,0.95288,0.000651573,0.000651573,0.000651573
24,488.375,0.92361,0.59736,0.93979,0.77517,0.73289,0.79602,0.53529,0.89861,0.56408,0.94002,0.000643326,0.000643326,0.000643326
25,508.605,0.91735,0.59212,0.94004,0.8171,0.72463,0.79707,0.54636,0.89183,0.5563,0.94053,0.000635079,0.000635079,0.000635079
26,529.025,0.91573,0.58693,0.94029,0.8714,0.70676,0.81241,0.54133,0.89969,0.54952,0.93702,0.000626832,0.000626832,0.000626832
27,549.173,0.90938,0.57922,0.93475,0.85009,0.72792,0.81406,0.55325,0.88439,0.54704,0.93415,0.000618586,0.000618586,0.000618586
28,569.391,0.90477,0.58073,0.93631,0.84143,0.7237,0.82743,0.55833,0.88094,0.54167,0.93788,0.000610339,0.000610339,0.000610339
29,589.74,0.89743,0.57507,0.93428,0.8521,0.71898,0.82193,0.56081,0.876,0.5411,0.93312,0.000602092,0.000602092,0.000602092
30,609.995,0.89358,0.57,0.93338,0.81288,0.75215,0.82333,0.55956,0.87086,0.5353,0.93227,0.000593846,0.000593846,0.000593846
31,630.106,0.88687,0.56641,0.92983,0.85712,0.73209,0.82656,0.56488,0.87127,0.53022,0.9303,0.000585599,0.000585599,0.000585599
32,650.446,0.87902,0.56024,0.92816,0.79567,0.76259,0.82675,0.56695,0.86295,0.53037,0.93452,0.000577352,0.000577352,0.000577352
33,670.663,0.87656,0.55344,0.92404,0.84704,0.73763,0.82232,0.56668,0.85597,0.52635,0.92586,0.000569106,0.000569106,0.000569106
34,690.91,0.86963,0.55106,0.92457,0.8321,0.75738,0.84157,0.58301,0.85635,0.52816,0.92793,0.000560859,0.000560859,0.000560859
35,711.278,0.86366,0.54676,0.92067,0.87421,0.74514,0.83701,0.57721,0.85575,0.51351,0.92865,0.000552612,0.000552612,0.000552612
36,731.405,0.85843,0.54318,0.92074,0.81068,0.79503,0.84474,0.58342,0.85023,0.51028,0.9272,0.000544365,0.000544365,0.000544365
37,751.608,0.85474,0.54309,0.91891,0.84553,0.75311,0.83218,0.57939,0.84389,0.51575,0.92627,0.000536119,0.000536119,0.000536119
