epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.2727,1.56431,2.4706,1.145,0.83769,0.07282,0.23348,0.12795,1.455,2.53184,1.0988,0.000299596,0.000299596,0.000299596
2,85.5294,1.38272,1.44178,1.0935,0.5924,0.35855,0.37726,0.22027,1.38203,1.45853,1.09372,0.000483282,0.000483282,0.000483282
3,127.384,1.35141,1.32308,1.09445,0.65791,0.41522,0.48612,0.2849,1.30188,1.12801,1.08267,0.00054698,0.00054698,0.00054698
4,169.405,1.29714,1.22653,1.07394,0.57849,0.48401,0.52646,0.31212,1.25518,1.0486,1.06552,0.000369054,0.000369054,0.000369054
5,211.099,1.24839,1.14826,1.04913,0.54222,0.55658,0.55484,0.34195,1.2402,0.98889,1.06245,0.000189072,0.000189072,0.000189072
1,42.4317,1.22152,1.10749,1.03835,0.63262,0.53195,0.59307,0.35519,1.21572,0.99461,1.04616,0.000299596,0.000299596,0.000299596
2,84.4778,1.22523,1.09268,1.04176,0.6194,0.53738,0.58685,0.34083,1.25949,1.00137,1.08046,0.000483282,0.000483282,0.000483282
3,126.183,1.23877,1.08002,1.052,0.69098,0.52578,0.59632,0.36244,1.24852,0.99175,1.07072,0.00054698,0.00054698,0.00054698
4,167.697,1.20221,1.02606,1.03929,0.64622,0.59531,0.64339,0.38986,1.17902,0.92626,1.04937,0.000369054,0.000369054,0.000369054
5,205.998,1.16588,0.97432,1.02243,0.64864,0.62074,0.64263,0.40285,1.15028,0.87421,1.03725,0.000189072,0.000189072,0.000189072
1,42.4554,1.14594,0.93572,1.01284,0.73718,0.60397,0.67588,0.41988,1.14642,0.87292,1.03427,0.000299596,0.000299596,0.000299596
2,84.3826,1.15251,0.94527,1.01732,0.70181,0.56681,0.64573,0.39587,1.18332,0.89377,1.06297,0.000483282,0.000483282,0.000483282
3,125.877,1.17557,0.95484,1.02873,0.73373,0.56366,0.65178,0.39337,1.23091,0.8856,1.06894,0.00054698,0.00054698,0.00054698
4,167.485,1.15698,0.92864,1.02399,0.70626,0.60738,0.6779,0.42131,1.15437,0.84099,1.04286,0.000369054,0.000369054,0.000369054
5,206.219,1.12494,0.88549,1.00935,0.67273,0.62399,0.67257,0.4304,1.11588,0.82158,1.02862,0.000189072,0.000189072,0.000189072
1,34.2755,1.09167,0.83643,0.99413,0.76174,0.63867,0.70566,0.4353,1.11851,0.80495,1.02008,0.000299596,0.000299596,0.000299596
2,69.3377,1.10166,0.85286,0.99738,0.71646,0.61256,0.6767,0.42223,1.17741,0.83623,1.0555,0.000483282,0.000483282,0.000483282
3,104.189,1.13293,0.87134,1.013,0.68995,0.6035,0.66713,0.39671,1.16276,0.84325,1.04514,0.00054698,0.00054698,0.00054698
4,138.978,1.11045,0.85626,1.00683,0.69016,0.63539,0.68123,0.42939,1.11673,0.80303,1.02577,0.000369054,0.000369054,0.000369054
5,173.82,1.08929,0.81883,0.99497,0.69567,0.65512,0.70797,0.45878,1.06644,0.76582,1.01188,0.000189072,0.000189072,0.000189072
1,40.3546,1.04943,0.77367,0.97983,0.79669,0.64815,0.74638,0.47951,1.0913,0.75804,1.00839,0.000299596,0.000299596,0.000299596
2,82.4263,1.06377,0.79755,0.98495,0.71588,0.59751,0.69002,0.40595,1.17535,0.84071,1.05338,0.000483282,0.000483282,0.000483282
3,124.299,1.10497,0.82215,1.00057,0.76116,0.59909,0.68489,0.42702,1.12883,0.81578,1.02927,0.00054698,0.00054698,0.00054698
4,166.21,1.08328,0.80402,0.9964,0.73217,0.66868,0.72991,0.4537,1.09946,0.77817,1.01676,0.000369054,0.000369054,0.000369054
5,207.948,1.06646,0.77958,0.98606,0.73003,0.67203,0.73675,0.48295,1.04834,0.73691,1.00039,0.000189072,0.000189072,0.000189072
