model,mAP50,mAP50-95,precision,recall,fitness,inference_time,nms_time,total_time,round_num
round_1,0.570558229442793,0.3628923304470622,0.776870362268127,0.4878334883159661,0.3836589203466353,0.0,0.0,0.0,1.0
round_2,0.699977335051303,0.46733971729139245,0.785668232370927,0.6348420222132247,0.49060347906738355,0.0,0.0,0.0,2.0
round_3,0.7339578023118623,0.4901085536196707,0.8769635379648115,0.6495785092723726,0.5144934784888898,0.0,0.0,0.0,3.0
round_4,0.7485704897893494,0.5095037315626089,0.8822038114386991,0.6563668652524329,0.5334104073852829,0.0,0.0,0.0,4.0
round_5,0.7737739144005572,0.534712981298819,0.8694015332898853,0.6733176598277222,0.5586190746089927,0.0,0.0,0.0,5.0
round_6,0.7907098071177041,0.5458592635478801,0.8871168023542121,0.6979338614907017,0.5703443179048625,0.0,0.0,0.0,6.0
round_7,0.7989890964074586,0.5618367037887535,0.8595426969481386,0.7212431183966082,0.5855519430506241,0.0,0.0,0.0,7.0
round_8,0.804619167442968,0.5646793967056624,0.8818971150275013,0.7114359390070061,0.588673373779393,0.0,0.0,0.0,8.0
round_9,0.8158840237684465,0.57063437005842,0.8917447541013844,0.7331235260112854,0.5951593354294227,0.0,0.0,0.0,9.0
round_10,0.8249786696227128,0.5764171845298649,0.8888847567750845,0.750487986840634,0.6012733330391498,0.0,0.0,0.0,10.0
round_11,0.8357708828531286,0.5824594256367942,0.8879152751427678,0.7638293572602591,0.6077905713584276,0.0,0.0,0.0,11.0
round_12,0.8353384911597337,0.5899660033964444,0.8974118047857195,0.7686396663624044,0.6145032521727735,0.0,0.0,0.0,12.0
round_13,0.8372732213024235,0.5932645344045759,0.9247380410335614,0.7397137098939985,0.6176654030943607,0.0,0.0,0.0,13.0
round_14,0.8421634606364956,0.5910978912543483,0.8596675016195657,0.7918915155757136,0.616204448192563,0.0,0.0,0.0,14.0
round_15,0.8493763221552699,0.5977789298613003,0.9319275567017551,0.7617368723447301,0.6229386690906973,0.0,0.0,0.0,15.0
round_16,0.8504472464835874,0.6040986254120921,0.9178365614565706,0.7582894756877095,0.6287334875192417,0.0,0.0,0.0,16.0
round_17,0.8512514487611224,0.6001796453109519,0.9171957978524408,0.7688282456310459,0.6252868256559689,0.0,0.0,0.0,17.0
round_18,0.8460936254038725,0.600476643306208,0.8691165108834766,0.7920020943772789,0.6250383415159744,0.0,0.0,0.0,18.0
round_19,0.8530453160380237,0.6047142075993356,0.8969825627187812,0.7837757893736187,0.6295473184432044,0.0,0.0,0.0,19.0
round_20,0.8475160973336517,0.6077077632224056,0.8972282367182258,0.7810171681839354,0.6316885966335302,0.0,0.0,0.0,20.0
round_21,0.8544103268305783,0.6090072308394782,0.8919651249488972,0.79434522588439,0.6335475404385882,0.0,0.0,0.0,21.0
round_22,0.8580739911513593,0.6073834912273826,0.8868444313922899,0.7956833873963773,0.6324525412197802,0.0,0.0,0.0,22.0
round_23,0.8591643579523744,0.613975866015798,0.8971812846171766,0.7894561892149129,0.6384947152094557,0.0,0.0,0.0,23.0
round_24,0.8562077431768299,0.6116211395109499,0.9102988471953531,0.7931322695565941,0.6360797998775379,0.0,0.0,0.0,24.0
round_25,0.8567685305709304,0.6128272797620148,0.8951715741742001,0.7876892240240936,0.6372214048429063,0.0,0.0,0.0,25.0
round_26,0.864569691030541,0.6193848209437058,0.8949804484012518,0.8006033200665191,0.6439033079523894,0.0,0.0,0.0,26.0
round_27,0.8689468595387311,0.6181346985694038,0.8716612814184262,0.8065145194839693,0.6432159146663365,0.0,0.0,0.0,27.0
