epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.6708,1.78425,3.23744,1.19746,0.01485,0.3811,0.08913,0.04706,1.78837,3.40413,1.12126,0.00025452,0.00025452,0.00025452
1,22.8042,1.48804,1.45352,1.091,0.97406,0.05462,0.51285,0.31693,1.59907,2.5216,1.09276,0.00025452,0.00025452,0.00025452
1,23.5044,1.41594,1.2711,1.07094,0.78267,0.51531,0.5867,0.35791,1.53138,1.40071,1.10065,0.00025452,0.00025452,0.00025452
1,18.7211,1.37121,1.18759,1.05882,0.74636,0.5835,0.62343,0.38662,1.48031,1.18747,1.09665,0.00025452,0.00025452,0.00025452
1,21.5496,1.34033,1.12391,1.04616,0.79475,0.55371,0.65837,0.3969,1.46567,1.15375,1.08153,0.00025452,0.00025452,0.00025452
1,13.951,1.32001,1.08334,1.04133,0.74461,0.64791,0.69649,0.42502,1.45278,1.08518,1.08013,0.00025452,0.00025452,0.00025452
1,23.349,1.29522,1.04342,1.03322,0.71381,0.67027,0.71701,0.42955,1.43798,1.03681,1.06778,0.00025452,0.00025452,0.00025452
1,15.9932,1.28612,1.01923,1.02902,0.72038,0.62661,0.69737,0.41833,1.45256,1.03776,1.07227,0.00025452,0.00025452,0.00025452
1,21.375,1.26552,0.98809,1.0236,0.71938,0.70931,0.73333,0.4436,1.43033,1.01174,1.0625,0.00025452,0.00025452,0.00025452
1,18.9791,1.25691,0.96481,1.02118,0.7379,0.68126,0.72299,0.43001,1.44549,1.01562,1.06882,0.00025452,0.00025452,0.00025452
1,23.4687,1.24313,0.94371,1.01476,0.71669,0.68871,0.72853,0.44985,1.42658,0.98997,1.05829,0.00025452,0.00025452,0.00025452
1,7.11713,1.23409,0.92272,1.01214,0.77482,0.66914,0.73135,0.44554,1.38816,0.97359,1.05271,0.00025452,0.00025452,0.00025452
1,7.68943,1.22658,0.9057,1.01088,0.7388,0.68551,0.71849,0.44961,1.43716,1.01265,1.07214,0.00025452,0.00025452,0.00025452
1,23.4034,1.23352,0.90443,1.01212,0.78087,0.71702,0.76471,0.46692,1.41697,0.95474,1.06611,0.00025452,0.00025452,0.00025452
1,18.4649,1.21264,0.88312,1.00549,0.82676,0.67755,0.76497,0.47208,1.42579,0.94791,1.06141,0.00025452,0.00025452,0.00025452
1,18.0796,1.20003,0.86925,1.00066,0.77424,0.69007,0.74187,0.46499,1.42625,0.98178,1.05858,0.00025452,0.00025452,0.00025452
1,22.6992,1.19759,0.86858,1.00096,0.76412,0.69992,0.75387,0.46916,1.41919,0.98273,1.06329,0.00025452,0.00025452,0.00025452
1,22.2846,1.1875,0.85267,0.99722,0.78699,0.71355,0.7551,0.46733,1.38876,0.97009,1.04961,0.00025452,0.00025452,0.00025452
1,23.6753,1.17945,0.84075,0.99533,0.82597,0.68272,0.77766,0.47857,1.38199,0.97569,1.05314,0.00025452,0.00025452,0.00025452
1,11.8858,1.17258,0.83098,0.99254,0.80167,0.72383,0.78899,0.47185,1.37507,0.93521,1.05167,0.00025452,0.00025452,0.00025452
1,23.6581,1.17187,0.81945,0.99271,0.85532,0.67652,0.76778,0.47537,1.36154,0.95208,1.03958,0.00025452,0.00025452,0.00025452
1,17.8001,1.16963,0.81616,0.99264,0.83596,0.6857,0.7648,0.47265,1.36113,0.96547,1.04531,0.00025452,0.00025452,0.00025452
1,18.7504,1.16388,0.81293,0.99052,0.7944,0.69322,0.75985,0.47522,1.35857,0.92559,1.05049,0.00025452,0.00025452,0.00025452
1,12.0388,1.15628,0.81006,0.98748,0.76887,0.70502,0.75035,0.47477,1.35507,0.92445,1.0412,0.00025452,0.00025452,0.00025452
1,18.7378,1.15239,0.80496,0.98659,0.77919,0.70278,0.75992,0.47475,1.3505,0.94288,1.04099,0.00025452,0.00025452,0.00025452
1,7.47759,1.15072,0.80425,0.987,0.80713,0.71275,0.78887,0.47862,1.34866,0.94022,1.04698,0.00025452,0.00025452,0.00025452
1,16.5284,1.14446,0.79866,0.98361,0.85482,0.66389,0.75329,0.46681,1.37214,0.93257,1.05648,0.00025452,0.00025452,0.00025452
1,7.14037,1.13925,0.79044,0.98273,0.76535,0.72499,0.7687,0.47966,1.40177,0.94167,1.06614,0.00025452,0.00025452,0.00025452
1,18.2541,1.1392,0.7823,0.98295,0.79159,0.71092,0.76492,0.47641,1.38175,0.92515,1.06052,0.00025452,0.00025452,0.00025452
1,13.6842,1.13025,0.77035,0.98062,0.8194,0.72583,0.7899,0.48584,1.37214,0.91336,1.06359,0.00025452,0.00025452,0.00025452
1,13.1972,1.12703,0.771,0.97815,0.77625,0.71131,0.76467,0.48088,1.38363,0.90447,1.0557,0.00025452,0.00025452,0.00025452
1,17.5909,1.12039,0.76509,0.9768,0.74437,0.70143,0.74203,0.45695,1.37294,0.91934,1.0483,0.00025452,0.00025452,0.00025452
1,7.27648,1.10823,0.7585,0.97333,0.80917,0.70917,0.7659,0.4807,1.34433,0.90062,1.04818,0.00025452,0.00025452,0.00025452
1,17.9934,1.1105,0.75615,0.97415,0.80247,0.72055,0.7943,0.49267,1.36518,0.88867,1.0532,0.00025452,0.00025452,0.00025452
1,18.8168,1.1043,0.75249,0.97344,0.85739,0.6845,0.77083,0.48916,1.37187,0.90468,1.05791,0.00025452,0.00025452,0.00025452
1,23.8625,1.10467,0.74891,0.97446,0.78423,0.75211,0.80037,0.50551,1.33047,0.86915,1.04241,0.00025452,0.00025452,0.00025452
1,23.8071,1.09491,0.74197,0.97107,0.83382,0.64585,0.75223,0.47021,1.34073,0.89807,1.04604,0.00025452,0.00025452,0.00025452
1,18.8962,1.09212,0.73982,0.96988,0.7895,0.71222,0.7614,0.48193,1.36974,0.91129,1.05274,0.00025452,0.00025452,0.00025452
1,18.7478,1.08979,0.73628,0.97011,0.82489,0.69088,0.77465,0.4819,1.33445,0.9049,1.03775,0.00025452,0.00025452,0.00025452
1,25.6569,1.0873,0.73113,0.96867,0.81093,0.65787,0.74108,0.46574,1.3091,0.90988,1.03237,0.00025452,0.00025452,0.00025452
1,17.5764,1.09162,0.73129,0.97,0.83332,0.69854,0.77825,0.48961,1.34143,0.87977,1.03856,0.00025452,0.00025452,0.00025452
1,22.378,1.07608,0.72543,0.96425,0.87096,0.68382,0.7584,0.47794,1.34328,0.8629,1.04165,0.00025452,0.00025452,0.00025452
1,7.27381,1.07482,0.71704,0.96333,0.82867,0.68549,0.77635,0.49134,1.3249,0.89038,1.04315,0.00025452,0.00025452,0.00025452
1,22.2215,1.0747,0.72461,0.96512,0.80013,0.71376,0.77737,0.48446,1.32987,0.86363,1.03865,0.00025452,0.00025452,0.00025452
1,22.1963,1.06962,0.72066,0.96463,0.81893,0.69263,0.76872,0.49567,1.33538,0.88478,1.05047,0.00025452,0.00025452,0.00025452
1,18.5537,1.07077,0.71783,0.96338,0.78132,0.6699,0.75593,0.47502,1.36174,0.91102,1.05317,0.00025452,0.00025452,0.00025452
1,18.642,1.0671,0.71619,0.964,0.74644,0.67657,0.74151,0.47582,1.35256,0.90799,1.05347,0.00025452,0.00025452,0.00025452
1,11.9394,1.05983,0.70903,0.96038,0.83264,0.68712,0.76588,0.48541,1.33563,0.90132,1.04953,0.00025452,0.00025452,0.00025452
1,23.981,1.05807,0.70593,0.96055,0.77617,0.67987,0.75173,0.48869,1.34113,0.86976,1.04764,0.00025452,0.00025452,0.00025452
1,23.7658,1.05088,0.70095,0.95981,0.75282,0.72554,0.74541,0.48072,1.3523,0.91262,1.05725,0.00025452,0.00025452,0.00025452
1,23.6214,1.05076,0.69956,0.96092,0.80281,0.66647,0.74609,0.48351,1.32048,0.88218,1.03245,0.00025452,0.00025452,0.00025452
1,17.6403,1.04867,0.70036,0.95985,0.7299,0.68855,0.74186,0.4692,1.34378,0.88815,1.05167,0.00025452,0.00025452,0.00025452
1,17.1344,1.05074,0.69936,0.95997,0.71371,0.71367,0.7453,0.46833,1.33806,0.92956,1.0491,0.00025452,0.00025452,0.00025452
1,17.5004,1.04414,0.69378,0.95809,0.80799,0.66879,0.7399,0.47284,1.33631,0.90497,1.04553,0.00025452,0.00025452,0.00025452
1,7.2901,1.04085,0.69255,0.9564,0.80775,0.67321,0.7331,0.46754,1.35033,0.88826,1.04814,0.00025452,0.00025452,0.00025452
1,18.6678,1.03904,0.69086,0.9555,0.8318,0.69117,0.75241,0.488,1.32591,0.88585,1.04122,0.00025452,0.00025452,0.00025452
1,12.9594,1.04136,0.69196,0.95572,0.79714,0.68218,0.75089,0.45913,1.34324,0.92646,1.05079,0.00025452,0.00025452,0.00025452
1,23.2352,1.03588,0.68701,0.95547,0.81942,0.66366,0.74253,0.47802,1.34486,0.90585,1.05717,0.00025452,0.00025452,0.00025452
1,19.8534,1.03198,0.68608,0.95487,0.85295,0.65845,0.76963,0.48354,1.32672,0.90101,1.0512,0.00025452,0.00025452,0.00025452
1,13.3903,1.02895,0.68314,0.95448,0.79578,0.70897,0.75069,0.46503,1.35195,0.8764,1.04809,0.00025452,0.00025452,0.00025452
1,7.24263,1.03,0.6844,0.95409,0.81107,0.68362,0.74449,0.47534,1.33584,0.93299,1.05366,0.00025452,0.00025452,0.00025452
1,17.5034,1.02461,0.68067,0.95265,0.84988,0.65632,0.73333,0.46803,1.35943,0.9232,1.071,0.00025452,0.00025452,0.00025452
1,7.08146,1.03323,0.68342,0.95487,0.84664,0.63778,0.74637,0.47127,1.34509,0.88638,1.05648,0.00025452,0.00025452,0.00025452
1,17.8107,1.02965,0.68611,0.95375,0.79589,0.67165,0.72657,0.47016,1.33121,0.89739,1.05069,0.00025452,0.00025452,0.00025452
1,7.4285,1.03056,0.68326,0.95438,0.74909,0.61673,0.70562,0.47327,1.33572,0.96328,1.06385,0.00025452,0.00025452,0.00025452
1,14.7562,1.02786,0.6823,0.95383,0.81128,0.65693,0.75013,0.47592,1.33472,0.92322,1.04971,0.00025452,0.00025452,0.00025452
1,17.074,1.02706,0.68003,0.95311,0.80257,0.69642,0.76161,0.48121,1.32557,0.8935,1.04784,0.00025452,0.00025452,0.00025452
1,23.0391,1.02304,0.67691,0.95309,0.73329,0.68556,0.74926,0.47533,1.34806,0.89897,1.04597,0.00025452,0.00025452,0.00025452
1,17.9727,1.02005,0.68099,0.95052,0.81892,0.67158,0.76243,0.47846,1.32664,0.85356,1.0501,0.00025452,0.00025452,0.00025452
1,16.5224,1.01683,0.67185,0.95036,0.80355,0.63424,0.74875,0.47122,1.30939,0.87767,1.04233,0.00025452,0.00025452,0.00025452
1,17.6945,1.01255,0.66812,0.94898,0.79093,0.68962,0.75543,0.48335,1.30969,0.88051,1.03551,0.00025452,0.00025452,0.00025452
1,7.31686,1.01179,0.66649,0.95063,0.82284,0.64629,0.72147,0.46022,1.37625,0.92479,1.06801,0.00025452,0.00025452,0.00025452
1,7.33376,1.00744,0.6647,0.94894,0.83606,0.65599,0.74365,0.46788,1.34495,0.885,1.06019,0.00025452,0.00025452,0.00025452
1,16.0111,1.00912,0.6626,0.94723,0.8116,0.67661,0.74253,0.46066,1.35759,0.87726,1.05644,0.00025452,0.00025452,0.00025452
1,7.41331,1.00983,0.66128,0.94839,0.81071,0.66253,0.72927,0.46544,1.37867,0.8858,1.06604,0.00025452,0.00025452,0.00025452
1,7.34893,1.0096,0.66035,0.94739,0.81785,0.68414,0.73569,0.47402,1.36813,0.88024,1.06045,0.00025452,0.00025452,0.00025452
1,7.2094,1.01008,0.66191,0.94777,0.79151,0.67584,0.74694,0.46409,1.3915,0.8718,1.06928,0.00025452,0.00025452,0.00025452
1,20.1162,0.99712,0.65755,0.94378,0.79066,0.66977,0.74204,0.44939,1.39985,0.89226,1.0658,0.00025452,0.00025452,0.00025452
1,25.6097,0.99358,0.65437,0.94438,0.7355,0.70505,0.74419,0.45135,1.37429,0.93223,1.05686,0.00025452,0.00025452,0.00025452
1,22.5503,0.98702,0.65287,0.94252,0.80541,0.68225,0.75131,0.46961,1.35635,0.87078,1.05183,0.00025452,0.00025452,0.00025452
1,21.8925,0.98639,0.65034,0.94259,0.72714,0.70757,0.72875,0.4288,1.37699,0.92766,1.06124,0.00025452,0.00025452,0.00025452
1,21.9986,0.98452,0.64959,0.94182,0.87329,0.69579,0.76456,0.46816,1.37185,0.87501,1.06551,0.00025452,0.00025452,0.00025452
1,14.942,0.98024,0.64555,0.93941,0.76722,0.69706,0.75764,0.47204,1.36721,0.88009,1.06432,0.00025452,0.00025452,0.00025452
1,18.2302,0.97618,0.6434,0.93859,0.83808,0.73067,0.76498,0.46337,1.34799,0.87036,1.05413,0.00025452,0.00025452,0.00025452
1,17.2831,0.97681,0.64083,0.94038,0.78851,0.70356,0.76844,0.46741,1.32825,0.84235,1.03811,0.00025452,0.00025452,0.00025452
1,22.2983,0.97593,0.64252,0.93994,0.80941,0.69932,0.75555,0.44119,1.37824,0.86632,1.06414,0.00025452,0.00025452,0.00025452
1,18.3727,0.97806,0.64361,0.94071,0.76855,0.69356,0.74905,0.46307,1.38088,0.90276,1.08791,0.00025452,0.00025452,0.00025452
1,14.8473,0.9702,0.63589,0.93985,0.81132,0.66822,0.73852,0.44716,1.37475,0.88439,1.07807,0.00025452,0.00025452,0.00025452
1,20.8537,0.97841,0.64135,0.94198,0.74134,0.72481,0.75171,0.47132,1.36796,0.90405,1.05868,0.00025452,0.00025452,0.00025452
1,23.6778,0.96812,0.636,0.93777,0.8295,0.68058,0.75949,0.47681,1.33297,0.85354,1.05391,0.00025452,0.00025452,0.00025452
1,18.961,0.9699,0.63799,0.93813,0.87052,0.67619,0.77502,0.46882,1.39521,0.89822,1.07243,0.00025452,0.00025452,0.00025452
1,22.4358,0.96431,0.6336,0.93542,0.8248,0.68547,0.7529,0.47477,1.37344,0.87011,1.06311,0.00025452,0.00025452,0.00025452
1,11.7848,0.96619,0.63584,0.9368,0.7662,0.71739,0.74906,0.47186,1.36746,0.89239,1.06201,0.00025452,0.00025452,0.00025452
1,13.7449,0.96335,0.63326,0.93648,0.83437,0.69038,0.75515,0.47692,1.35593,0.87132,1.06217,0.00025452,0.00025452,0.00025452
1,7.26752,0.95822,0.63357,0.93598,0.79688,0.68962,0.74802,0.45894,1.38478,0.89208,1.07804,0.00025452,0.00025452,0.00025452
1,11.3926,0.95562,0.62715,0.93448,0.78024,0.68874,0.74426,0.46205,1.39806,0.88937,1.08398,0.00025452,0.00025452,0.00025452
1,15.036,0.95823,0.6304,0.93404,0.84233,0.62296,0.72718,0.45165,1.40381,0.91165,1.08184,0.00025452,0.00025452,0.00025452
1,18.6094,0.95247,0.6247,0.93372,0.77492,0.67187,0.74162,0.46312,1.35729,0.86211,1.07687,0.00025452,0.00025452,0.00025452
1,9.66098,0.95264,0.62753,0.93396,0.84195,0.69829,0.75186,0.46408,1.39608,0.90073,1.08407,0.00025452,0.00025452,0.00025452
1,23.6717,0.94852,0.62428,0.93269,0.76528,0.7035,0.75183,0.46808,1.3728,0.86331,1.06915,0.00025452,0.00025452,0.00025452
