epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.1818,1.82412,2.89409,1.21987,0.01141,0.35961,0.12263,0.06451,1.721,3.42601,1.1625,0.000296267,0.000296267,0.000296267
1,28.5119,1.6039,1.62822,1.13809,0.67035,0.13919,0.3437,0.17656,1.74922,2.26263,1.16841,0.000296267,0.000296267,0.000296267
1,29.5946,1.51846,1.44003,1.11149,0.61466,0.41812,0.4659,0.251,1.68468,1.39797,1.14126,0.000296267,0.000296267,0.000296267
1,27.2596,1.47212,1.35226,1.09796,0.55615,0.45106,0.5012,0.27196,1.65464,1.31455,1.14114,0.000296267,0.000296267,0.000296267
1,28.7637,1.4435,1.29006,1.08812,0.59251,0.48231,0.52579,0.28169,1.63127,1.33923,1.14193,0.000296267,0.000296267,0.000296267
1,23.1508,1.40882,1.22985,1.07466,0.61596,0.53335,0.54782,0.30528,1.61123,1.2835,1.13055,0.000296267,0.000296267,0.000296267
1,29.8769,1.38844,1.18858,1.06741,0.55451,0.55703,0.56525,0.3011,1.59673,1.27591,1.12148,0.000296267,0.000296267,0.000296267
1,29.4644,1.36729,1.14661,1.05775,0.66003,0.51165,0.5503,0.29612,1.61218,1.21167,1.13073,0.000296267,0.000296267,0.000296267
1,26.6329,1.34999,1.11647,1.05154,0.6087,0.52412,0.55034,0.29357,1.62075,1.15582,1.13396,0.000296267,0.000296267,0.000296267
1,24.8086,1.33809,1.08839,1.04734,0.60908,0.54868,0.56378,0.31012,1.63629,1.14841,1.12757,0.000296267,0.000296267,0.000296267
1,29.6406,1.32075,1.05846,1.04147,0.66205,0.55016,0.59141,0.32812,1.60272,1.17679,1.12517,0.000296267,0.000296267,0.000296267
1,25.9833,1.3028,1.02776,1.03535,0.67033,0.54693,0.59582,0.33196,1.56817,1.13758,1.11608,0.000296267,0.000296267,0.000296267
