epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.05067,1.75123,4.29096,1.29269,0.00552,0.30969,0.06262,0.03604,1.63354,3.97271,1.11081,9.09e-05,9.09e-05,9.09e-05
1,9.33294,1.48256,2.22618,1.14495,0.01475,0.71581,0.39423,0.25786,1.41744,3.15969,1.05797,9.09e-05,9.09e-05,9.09e-05
1,9.59143,1.4187,1.85851,1.12824,0.70252,0.44997,0.54649,0.35198,1.37198,1.85675,1.09095,9.09e-05,9.09e-05,9.09e-05
1,5.60374,1.39056,1.71058,1.11688,0.67027,0.53958,0.61448,0.403,1.30743,1.49828,1.0713,9.09e-05,9.09e-05,9.09e-05
1,11.4384,1.37765,1.62732,1.1088,0.66407,0.54189,0.62322,0.40151,1.31905,1.48063,1.08176,9.09e-05,9.09e-05,9.09e-05
1,7.22921,1.36203,1.55726,1.10369,0.64098,0.59336,0.61903,0.39886,1.31478,1.52721,1.08469,9.09e-05,9.09e-05,9.09e-05
1,9.24757,1.3436,1.48207,1.09429,0.67674,0.57867,0.65051,0.42654,1.25644,1.46485,1.05504,9.09e-05,9.09e-05,9.09e-05
1,9.84636,1.33169,1.47947,1.09186,0.67262,0.59796,0.67646,0.43905,1.28676,1.40512,1.07437,9.09e-05,9.09e-05,9.09e-05
1,11.1081,1.32955,1.42477,1.08975,0.76206,0.56857,0.7056,0.45849,1.26764,1.28621,1.06163,9.09e-05,9.09e-05,9.09e-05
1,6.04375,1.32882,1.37872,1.08834,0.66414,0.6147,0.68983,0.45346,1.26509,1.31054,1.06936,9.09e-05,9.09e-05,9.09e-05
1,8.21148,1.33189,1.37186,1.08829,0.71648,0.61493,0.70671,0.469,1.25239,1.31868,1.05764,9.09e-05,9.09e-05,9.09e-05
1,4.99667,1.3261,1.34543,1.09115,0.72002,0.62101,0.70108,0.45529,1.27204,1.37578,1.06211,9.09e-05,9.09e-05,9.09e-05
1,5.24627,1.33849,1.34081,1.09602,0.75737,0.61172,0.72321,0.4766,1.26722,1.35604,1.05658,9.09e-05,9.09e-05,9.09e-05
1,4.47502,1.34513,1.37664,1.09486,0.67045,0.58418,0.67166,0.44112,1.25702,1.30701,1.05116,9.09e-05,9.09e-05,9.09e-05
1,8.70686,1.32842,1.37572,1.09237,0.66186,0.60777,0.6762,0.44794,1.252,1.26495,1.05439,9.09e-05,9.09e-05,9.09e-05
1,10.6116,1.32777,1.33557,1.09306,0.66573,0.63188,0.67367,0.43838,1.26792,1.25316,1.06354,9.09e-05,9.09e-05,9.09e-05
1,7.49355,1.31327,1.31217,1.09016,0.66806,0.56659,0.65156,0.42982,1.239,1.27872,1.03476,9.09e-05,9.09e-05,9.09e-05
1,8.55817,1.32185,1.28136,1.09602,0.63439,0.65095,0.68633,0.44019,1.26485,1.25653,1.05071,9.09e-05,9.09e-05,9.09e-05
1,4.41456,1.31682,1.26289,1.09406,0.67121,0.61004,0.67525,0.43979,1.23764,1.27461,1.04005,9.09e-05,9.09e-05,9.09e-05
1,4.72972,1.31468,1.26055,1.09258,0.66794,0.60785,0.6809,0.4502,1.27088,1.29608,1.05723,9.09e-05,9.09e-05,9.09e-05
1,4.55316,1.32098,1.24208,1.09441,0.74802,0.60085,0.68903,0.45033,1.26951,1.31846,1.06395,9.09e-05,9.09e-05,9.09e-05
1,8.60221,1.31993,1.23164,1.1011,0.72795,0.63421,0.70243,0.45394,1.27174,1.33973,1.06806,9.09e-05,9.09e-05,9.09e-05
1,5.48097,1.30862,1.26343,1.09339,0.68706,0.62315,0.68423,0.44672,1.27986,1.25751,1.0698,9.09e-05,9.09e-05,9.09e-05
1,9.60288,1.30919,1.27884,1.09696,0.62169,0.65035,0.66909,0.43082,1.29139,1.2595,1.08097,9.09e-05,9.09e-05,9.09e-05
1,5.13032,1.31706,1.24729,1.09559,0.74192,0.60815,0.70406,0.45933,1.25803,1.20205,1.06467,9.09e-05,9.09e-05,9.09e-05
1,5.31268,1.31454,1.22371,1.09443,0.69559,0.63307,0.6968,0.44821,1.29101,1.25649,1.08698,9.09e-05,9.09e-05,9.09e-05
1,10.0086,1.31422,1.24161,1.09636,0.7077,0.62058,0.67762,0.44516,1.25392,1.30876,1.06478,9.09e-05,9.09e-05,9.09e-05
1,5.24401,1.31618,1.22499,1.09569,0.70804,0.63567,0.70618,0.4541,1.29454,1.30938,1.08643,9.09e-05,9.09e-05,9.09e-05
1,10.2665,1.3211,1.20995,1.09821,0.72758,0.64615,0.70581,0.45368,1.28651,1.20006,1.07606,9.09e-05,9.09e-05,9.09e-05
1,6.85588,1.30553,1.16087,1.09595,0.74135,0.65681,0.71797,0.46229,1.27202,1.27233,1.06878,9.09e-05,9.09e-05,9.09e-05
1,9.49529,1.31877,1.18726,1.10108,0.70826,0.66641,0.71228,0.45584,1.27757,1.24074,1.07037,9.09e-05,9.09e-05,9.09e-05
1,5.2314,1.32396,1.20056,1.10416,0.76022,0.64775,0.72247,0.47044,1.26795,1.20377,1.07186,9.09e-05,9.09e-05,9.09e-05
1,4.87353,1.3205,1.18847,1.10119,0.76519,0.63671,0.72569,0.47691,1.24568,1.14888,1.07025,9.09e-05,9.09e-05,9.09e-05
1,5.27855,1.31546,1.18823,1.09933,0.77369,0.6204,0.71883,0.47247,1.2356,1.09316,1.06845,9.09e-05,9.09e-05,9.09e-05
1,11.7915,1.31806,1.16849,1.09907,0.67825,0.66199,0.72438,0.4704,1.26783,1.17839,1.07615,9.09e-05,9.09e-05,9.09e-05
1,4.45063,1.31333,1.17467,1.10435,0.74059,0.62917,0.71883,0.47601,1.23957,1.14744,1.06195,9.09e-05,9.09e-05,9.09e-05
1,4.43793,1.30648,1.1621,1.10025,0.73115,0.64081,0.73073,0.47111,1.26008,1.18027,1.07734,9.09e-05,9.09e-05,9.09e-05
1,5.3611,1.30802,1.13768,1.10312,0.68117,0.6443,0.70857,0.46893,1.23263,1.12865,1.07407,9.09e-05,9.09e-05,9.09e-05
1,10.5932,1.30799,1.16164,1.09697,0.66305,0.689,0.7167,0.47478,1.23395,1.12048,1.08072,9.09e-05,9.09e-05,9.09e-05
1,12.5489,1.30616,1.13971,1.09506,0.74087,0.63171,0.73527,0.47586,1.27094,1.04559,1.08807,9.09e-05,9.09e-05,9.09e-05
1,5.06173,1.30088,1.13658,1.09973,0.74957,0.60481,0.70298,0.45457,1.2552,1.14028,1.09015,9.09e-05,9.09e-05,9.09e-05
1,4.45796,1.30922,1.13869,1.10492,0.63941,0.64386,0.67042,0.43877,1.24201,1.19645,1.08251,9.09e-05,9.09e-05,9.09e-05
1,5.17356,1.31318,1.11734,1.10649,0.66016,0.66937,0.71153,0.46877,1.25676,1.08951,1.0758,9.09e-05,9.09e-05,9.09e-05
1,4.39419,1.30401,1.15815,1.09986,0.65862,0.65514,0.69179,0.45355,1.23198,1.13503,1.07139,9.09e-05,9.09e-05,9.09e-05
1,9.25067,1.30094,1.12608,1.10039,0.7265,0.65128,0.70779,0.46169,1.27754,1.1195,1.08761,9.09e-05,9.09e-05,9.09e-05
1,10.3477,1.3072,1.12127,1.09967,0.71566,0.66085,0.71873,0.47511,1.26752,1.09348,1.112,9.09e-05,9.09e-05,9.09e-05
1,8.72296,1.30593,1.12054,1.09985,0.75105,0.64091,0.74548,0.48437,1.25027,1.06326,1.09086,9.09e-05,9.09e-05,9.09e-05
1,6.42414,1.30408,1.09013,1.09938,0.69251,0.63651,0.7191,0.46427,1.26781,1.10883,1.09192,9.09e-05,9.09e-05,9.09e-05
1,4.40582,1.30418,1.10541,1.10285,0.64123,0.69598,0.72417,0.46776,1.24466,1.12257,1.09189,9.09e-05,9.09e-05,9.09e-05
1,4.44984,1.30585,1.09389,1.10434,0.70791,0.6593,0.7171,0.46785,1.25887,1.07786,1.09766,9.09e-05,9.09e-05,9.09e-05
1,4.50496,1.30129,1.09622,1.10193,0.61028,0.67984,0.68638,0.44597,1.23871,1.08876,1.08086,9.09e-05,9.09e-05,9.09e-05
1,5.3516,1.30159,1.122,1.10116,0.65182,0.69088,0.72617,0.47702,1.26363,1.04,1.077,9.09e-05,9.09e-05,9.09e-05
1,7.91113,1.31343,1.1046,1.10267,0.66502,0.65199,0.70877,0.47877,1.25264,1.0472,1.10152,9.09e-05,9.09e-05,9.09e-05
1,5.16979,1.31868,1.10944,1.10645,0.64477,0.67436,0.70677,0.45916,1.27507,1.07184,1.11014,9.09e-05,9.09e-05,9.09e-05
1,5.21111,1.30863,1.099,1.10151,0.67682,0.65583,0.69925,0.45204,1.25486,1.08537,1.09774,9.09e-05,9.09e-05,9.09e-05
1,9.0764,1.30369,1.08636,1.10429,0.68404,0.64859,0.70321,0.45537,1.23726,1.04664,1.06732,9.09e-05,9.09e-05,9.09e-05
1,9.39697,1.30729,1.10557,1.10534,0.75199,0.57545,0.70944,0.45074,1.27296,1.04761,1.11241,9.09e-05,9.09e-05,9.09e-05
1,4.47593,1.29818,1.08071,1.10645,0.73033,0.65602,0.73014,0.46534,1.26561,1.0274,1.09761,9.09e-05,9.09e-05,9.09e-05
1,10.4486,1.30497,1.07467,1.10684,0.78668,0.62316,0.75283,0.48971,1.26849,1.03247,1.10109,9.09e-05,9.09e-05,9.09e-05
1,6.25198,1.3045,1.07438,1.10614,0.65647,0.68021,0.71175,0.45364,1.2377,1.00124,1.07752,9.09e-05,9.09e-05,9.09e-05
1,4.5619,1.30534,1.07015,1.11262,0.72736,0.63077,0.74526,0.49132,1.22546,1.01961,1.07582,9.09e-05,9.09e-05,9.09e-05
1,9.54377,1.30402,1.07673,1.10692,0.72958,0.65299,0.73482,0.47567,1.27935,1.03877,1.11683,9.09e-05,9.09e-05,9.09e-05
1,4.74908,1.30251,1.08501,1.10474,0.68868,0.69374,0.74265,0.48064,1.25499,1.0457,1.10936,9.09e-05,9.09e-05,9.09e-05
1,5.69922,1.29668,1.09103,1.10421,0.68491,0.69427,0.717,0.46556,1.26742,1.10942,1.10515,9.09e-05,9.09e-05,9.09e-05
1,5.10675,1.29853,1.08233,1.10848,0.7291,0.63481,0.71161,0.45571,1.25321,1.10583,1.09804,9.09e-05,9.09e-05,9.09e-05
1,5.04319,1.30345,1.07568,1.10642,0.65188,0.6595,0.69527,0.44758,1.28482,1.10799,1.11849,9.09e-05,9.09e-05,9.09e-05
1,8.34009,1.30053,1.09113,1.09935,0.71027,0.65007,0.70543,0.45305,1.29311,1.14649,1.12481,9.09e-05,9.09e-05,9.09e-05
1,9.16839,1.29836,1.08938,1.09653,0.69424,0.68433,0.71163,0.46967,1.2637,1.07174,1.10439,9.09e-05,9.09e-05,9.09e-05
1,5.29373,1.28937,1.0794,1.09335,0.71392,0.65558,0.71767,0.46312,1.27439,1.13181,1.11611,9.09e-05,9.09e-05,9.09e-05
1,10.0076,1.30155,1.06355,1.10438,0.67945,0.62231,0.68065,0.44057,1.25613,1.1143,1.09502,9.09e-05,9.09e-05,9.09e-05
1,9.96897,1.30851,1.07491,1.10959,0.72261,0.60664,0.71303,0.45746,1.2533,1.00678,1.09233,9.09e-05,9.09e-05,9.09e-05
1,4.92455,1.30708,1.10737,1.10825,0.70288,0.64946,0.70902,0.45722,1.27608,1.07633,1.11834,9.09e-05,9.09e-05,9.09e-05
1,5.05634,1.30241,1.10942,1.1125,0.75345,0.64739,0.71531,0.46438,1.26825,1.05864,1.10569,9.09e-05,9.09e-05,9.09e-05
1,10.3537,1.29848,1.11208,1.10724,0.66248,0.69298,0.71256,0.46077,1.30563,1.1039,1.14045,9.09e-05,9.09e-05,9.09e-05
1,4.99773,1.29902,1.1169,1.10522,0.71422,0.65864,0.7339,0.4748,1.27741,1.07699,1.11675,9.09e-05,9.09e-05,9.09e-05
1,4.88239,1.30461,1.11172,1.10851,0.69251,0.70324,0.70301,0.45607,1.28016,1.0538,1.12644,9.09e-05,9.09e-05,9.09e-05
1,4.52732,1.30112,1.09941,1.11054,0.65838,0.70622,0.71922,0.46358,1.3114,1.04685,1.13232,9.09e-05,9.09e-05,9.09e-05
1,10.8109,1.30015,1.11344,1.10331,0.71456,0.68512,0.74905,0.48422,1.29122,1.00414,1.1144,9.09e-05,9.09e-05,9.09e-05
1,12.7116,1.29095,1.08164,1.10441,0.70356,0.67952,0.74544,0.48204,1.29249,1.04515,1.12171,9.09e-05,9.09e-05,9.09e-05
1,9.4567,1.2932,1.06406,1.10928,0.69197,0.70851,0.73749,0.47573,1.27615,1.0545,1.11295,9.09e-05,9.09e-05,9.09e-05
1,4.39231,1.2961,1.03736,1.10918,0.71071,0.70228,0.7529,0.48896,1.29077,1.02853,1.12217,9.09e-05,9.09e-05,9.09e-05
