epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,103.015,1.38151,1.90319,1.08868,0.5623,0.37537,0.36622,0.21364,1.24856,1.14528,1.01484,0.000301196,0.000301196,0.000301196
2,140.293,1.22148,1.09347,1.03808,0.70297,0.42717,0.48944,0.28733,1.14735,0.9295,1.00555,0.000484566,0.000484566,0.000484566
3,159.842,1.1671,0.97073,1.021,0.52052,0.50969,0.5236,0.31638,1.10654,0.83799,0.99619,0.000547947,0.000547947,0.000547947
4,179.314,1.12349,0.87888,1.0068,0.66722,0.52507,0.58593,0.35182,1.08252,0.79312,0.98786,0.000369054,0.000369054,0.000369054
5,198.976,1.06341,0.80114,0.98463,0.62322,0.61772,0.63461,0.39608,1.02859,0.71591,0.96832,0.000189072,0.000189072,0.000189072
1,102.497,1.07668,0.8619,0.99021,0.73597,0.51355,0.59549,0.35481,1.09264,0.80129,0.99968,0.000301196,0.000301196,0.000301196
2,142.432,1.09155,0.83947,0.99555,0.64786,0.51473,0.59349,0.35886,1.06614,0.76178,0.99552,0.000484566,0.000484566,0.000484566
3,161.896,1.06941,0.79143,0.99029,0.79677,0.50945,0.60961,0.38155,1.04419,0.7415,0.98734,0.000547947,0.000547947,0.000547947
4,181.477,1.04538,0.74745,0.98247,0.67531,0.58235,0.64713,0.39682,1.04098,0.72183,0.98807,0.000369054,0.000369054,0.000369054
5,200.977,0.9989,0.69982,0.9661,0.74924,0.61671,0.70017,0.45079,0.97002,0.65117,0.96367,0.000189072,0.000189072,0.000189072
1,111.162,0.98508,0.70466,0.96068,0.67792,0.55668,0.62797,0.39344,1.06052,0.7415,0.99139,0.000301196,0.000301196,0.000301196
2,152.27,1.02252,0.72611,0.97218,0.69527,0.62052,0.68111,0.42776,1.01151,0.70499,0.97685,0.000484566,0.000484566,0.000484566
3,171.824,1.00848,0.7076,0.96934,0.64801,0.63868,0.66565,0.4131,1.0184,0.73311,0.9907,0.000547947,0.000547947,0.000547947
4,191.236,0.99757,0.68712,0.96623,0.75334,0.62034,0.70229,0.44651,1.00515,0.66295,0.98019,0.000369054,0.000369054,0.000369054
5,210.944,0.95825,0.64627,0.95275,0.72627,0.69885,0.74459,0.49018,0.94008,0.61624,0.95323,0.000189072,0.000189072,0.000189072
1,105.028,0.9312,0.63391,0.94313,0.71568,0.60028,0.66461,0.4134,1.02662,0.69073,0.97853,0.000301196,0.000301196,0.000301196
2,147.103,0.96994,0.6625,0.95412,0.75468,0.61049,0.69206,0.44615,0.997,0.66533,0.97341,0.000484566,0.000484566,0.000484566
3,166.525,0.97196,0.65945,0.95616,0.72713,0.59334,0.67853,0.43885,0.99306,0.71677,0.97874,0.000547947,0.000547947,0.000547947
4,186.092,0.96099,0.64544,0.95317,0.73022,0.64158,0.70926,0.45159,0.98235,0.65405,0.96765,0.000369054,0.000369054,0.000369054
5,205.549,0.92944,0.61552,0.94288,0.75114,0.69663,0.75006,0.49628,0.93191,0.59367,0.94952,0.000189072,0.000189072,0.000189072
1,111.089,0.88921,0.59144,0.929,0.76571,0.6232,0.70687,0.44357,1.04124,0.67483,0.98291,0.000301196,0.000301196,0.000301196
2,152.604,0.93879,0.62492,0.9426,0.78794,0.65184,0.75066,0.47669,0.98348,0.6421,0.96716,0.000484566,0.000484566,0.000484566
3,172.093,0.93666,0.62202,0.94358,0.70457,0.61628,0.67218,0.42886,1.00036,0.70485,0.98409,0.000547947,0.000547947,0.000547947
4,191.716,0.93564,0.61504,0.9434,0.78306,0.66391,0.73653,0.48157,0.9452,0.60704,0.96358,0.000369054,0.000369054,0.000369054
5,211.221,0.90324,0.58992,0.93485,0.81294,0.6756,0.76445,0.51433,0.90592,0.57402,0.94579,0.000189072,0.000189072,0.000189072
1,104.393,0.85883,0.56258,0.91942,0.75199,0.67226,0.74164,0.4885,0.98579,0.62153,0.96415,0.000301196,0.000301196,0.000301196
2,142.944,0.91209,0.59808,0.93269,0.8032,0.68322,0.74943,0.47815,0.99303,0.6461,0.96198,0.000484566,0.000484566,0.000484566
3,162.397,0.91098,0.59522,0.93355,0.72023,0.63212,0.69354,0.44224,0.96298,0.64865,0.96687,0.000547947,0.000547947,0.000547947
4,181.86,0.91219,0.59131,0.93514,0.80204,0.66435,0.75111,0.48738,0.93129,0.61111,0.95617,0.000369054,0.000369054,0.000369054
5,201.524,0.88372,0.57204,0.92813,0.81738,0.70077,0.78297,0.52443,0.88897,0.5559,0.94243,0.000189072,0.000189072,0.000189072
1,106.899,0.83313,0.5399,0.9111,0.80734,0.65592,0.76093,0.49423,0.96186,0.60634,0.95445,0.000301196,0.000301196,0.000301196
2,149.654,0.87909,0.5728,0.92205,0.79797,0.63685,0.73888,0.46799,0.99002,0.65442,0.96375,0.000484566,0.000484566,0.000484566
3,169.187,0.88855,0.57726,0.92511,0.75751,0.67507,0.7456,0.49587,0.95146,0.62905,0.96655,0.000547947,0.000547947,0.000547947
4,188.693,0.88913,0.57293,0.92705,0.83037,0.6595,0.76376,0.50282,0.92586,0.5826,0.95544,0.000369054,0.000369054,0.000369054
5,208.427,0.8634,0.55535,0.92059,0.80817,0.68617,0.77792,0.51916,0.89308,0.55732,0.94078,0.000189072,0.000189072,0.000189072
1,110.197,0.81579,0.52437,0.90501,0.83391,0.69239,0.77445,0.49681,0.94328,0.59008,0.95528,0.000301196,0.000301196,0.000301196
2,151.872,0.86581,0.55324,0.91652,0.74022,0.73055,0.75871,0.49611,0.94311,0.60595,0.94852,0.000484566,0.000484566,0.000484566
3,171.409,0.86645,0.55968,0.91802,0.78951,0.62328,0.732,0.47118,0.95377,0.62323,0.9739,0.000547947,0.000547947,0.000547947
4,190.917,0.87479,0.55936,0.92203,0.84376,0.69323,0.78591,0.5113,0.92272,0.5883,0.95203,0.000369054,0.000369054,0.000369054
5,210.651,0.85047,0.54301,0.91709,0.8326,0.69865,0.79448,0.54097,0.8773,0.54628,0.93817,0.000189072,0.000189072,0.000189072
1,103.03,0.78967,0.50829,0.89767,0.81802,0.66813,0.76127,0.49258,0.97189,0.60248,0.96198,0.000301196,0.000301196,0.000301196
2,147.943,0.84669,0.53838,0.91025,0.81655,0.66836,0.77497,0.51423,0.9369,0.58338,0.95355,0.000484566,0.000484566,0.000484566
3,167.517,0.84705,0.54346,0.91207,0.7868,0.64096,0.73306,0.47185,0.94182,0.61998,0.96799,0.000547947,0.000547947,0.000547947
4,187.067,0.85053,0.54344,0.91447,0.73853,0.73605,0.77344,0.51638,0.90563,0.5718,0.94594,0.000369054,0.000369054,0.000369054
5,206.766,0.83594,0.53314,0.9117,0.8084,0.71911,0.79083,0.54118,0.86958,0.54085,0.93286,0.000189072,0.000189072,0.000189072
1,105.983,0.77557,0.49679,0.89353,0.86828,0.67953,0.79571,0.52184,0.93507,0.5846,0.94599,0.000301196,0.000301196,0.000301196
2,147.715,0.8337,0.52738,0.90599,0.76956,0.74928,0.78217,0.51062,0.92332,0.57076,0.94877,0.000484566,0.000484566,0.000484566
3,167.226,0.82983,0.53133,0.90675,0.78156,0.68229,0.7679,0.50592,0.93378,0.58994,0.96293,0.000547947,0.000547947,0.000547947
4,186.795,0.83794,0.53125,0.90995,0.82578,0.68754,0.78276,0.51312,0.92162,0.55925,0.94909,0.000369054,0.000369054,0.000369054
5,206.525,0.82579,0.52125,0.90787,0.82677,0.74275,0.81246,0.55022,0.86206,0.52781,0.92777,0.000189072,0.000189072,0.000189072
1,111.313,0.75487,0.48391,0.88774,0.87006,0.67431,0.791,0.52472,0.91048,0.56403,0.94686,0.000301196,0.000301196,0.000301196
2,152.053,0.80333,0.51162,0.8976,0.79201,0.71798,0.78636,0.5173,0.9043,0.57552,0.94795,0.000484566,0.000484566,0.000484566
3,171.605,0.81167,0.51862,0.90147,0.7844,0.66932,0.75249,0.49574,0.92137,0.5838,0.95487,0.000547947,0.000547947,0.000547947
4,191.106,0.8275,0.52452,0.9067,0.79776,0.72381,0.79126,0.52595,0.88223,0.55638,0.93928,0.000369054,0.000369054,0.000369054
5,210.86,0.81317,0.51242,0.9047,0.82641,0.74661,0.81377,0.54897,0.86611,0.5256,0.93666,0.000189072,0.000189072,0.000189072
1,102.381,0.74839,0.47672,0.88468,0.86308,0.68437,0.78943,0.51782,0.93399,0.56463,0.9478,0.000301196,0.000301196,0.000301196
2,142.586,0.79638,0.50362,0.89455,0.81439,0.6895,0.76213,0.4987,0.94413,0.60592,0.96028,0.000484566,0.000484566,0.000484566
3,162.114,0.80147,0.51021,0.89792,0.70897,0.68014,0.7436,0.49546,0.92507,0.58043,0.95634,0.000547947,0.000547947,0.000547947
4,181.628,0.8177,0.51418,0.90317,0.83901,0.71289,0.7983,0.53435,0.8924,0.54596,0.94602,0.000369054,0.000369054,0.000369054
5,201.337,0.80608,0.50468,0.9017,0.81956,0.7476,0.81524,0.5689,0.84713,0.51227,0.92558,0.000189072,0.000189072,0.000189072
1,103.569,0.7413,0.46957,0.8821,0.88305,0.70245,0.79743,0.51837,0.9238,0.55466,0.93825,0.000301196,0.000301196,0.000301196
2,148.327,0.77485,0.49139,0.88838,0.78323,0.72764,0.7934,0.51793,0.934,0.56964,0.95089,0.000484566,0.000484566,0.000484566
3,167.798,0.78908,0.50089,0.89298,0.7449,0.67884,0.74105,0.47956,0.92227,0.59703,0.95193,0.000547947,0.000547947,0.000547947
4,187.205,0.80077,0.50429,0.89759,0.82872,0.69094,0.78784,0.52965,0.91153,0.54612,0.94379,0.000369054,0.000369054,0.000369054
5,206.888,0.79678,0.49869,0.89861,0.85088,0.7093,0.81063,0.55599,0.84052,0.50757,0.92353,0.000189072,0.000189072,0.000189072
1,105.973,0.72572,0.46023,0.87796,0.84683,0.69978,0.79183,0.52626,0.93861,0.5568,0.95089,0.000301196,0.000301196,0.000301196
2,148.378,0.7633,0.48353,0.88447,0.81967,0.69855,0.78093,0.51362,0.91728,0.56848,0.94821,0.000484566,0.000484566,0.000484566
3,167.855,0.78484,0.49375,0.891,0.84203,0.70459,0.79374,0.52334,0.89218,0.56193,0.93998,0.000547947,0.000547947,0.000547947
4,187.317,0.79192,0.49571,0.89406,0.84644,0.6857,0.79066,0.54129,0.87707,0.53435,0.93764,0.000369054,0.000369054,0.000369054
5,206.978,0.78636,0.49195,0.89491,0.79592,0.76076,0.81609,0.5642,0.84587,0.50465,0.92404,0.000189072,0.000189072,0.000189072
1,103.342,0.71603,0.45436,0.87526,0.82966,0.73172,0.80493,0.51991,0.96685,0.54875,0.9492,0.000301196,0.000301196,0.000301196
2,147.789,0.75398,0.47549,0.8817,0.7632,0.7151,0.77168,0.50648,0.89851,0.5519,0.94511,0.000484566,0.000484566,0.000484566
3,167.243,0.76437,0.48135,0.88527,0.8142,0.70226,0.7699,0.51309,0.92483,0.563,0.94839,0.000547947,0.000547947,0.000547947
