epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.5856,1.48971,3.33295,1.129,0.01693,0.35981,0.10064,0.05328,1.4481,3.46969,1.03558,0.00022725,0.00022725,0.00022725
2,29.1592,1.35394,1.61343,1.06795,0.02619,0.36976,0.13749,0.09626,1.27513,3.29959,1.04054,0.000371799,0.000371799,0.000371799
3,50.3262,1.24938,1.36129,1.04067,0.94778,0.0532,0.30253,0.19884,1.26365,2.51133,1.0358,0.000422758,0.000422758,0.000422758
4,69.583,1.17829,1.25484,1.01903,0.88623,0.29775,0.44068,0.29221,1.19936,1.77718,1.02196,0.000369054,0.000369054,0.000369054
5,90.2163,1.12597,1.15342,1.00197,0.52583,0.42702,0.50435,0.32966,1.09482,1.30374,0.98978,0.000189072,0.000189072,0.000189072
1,12.4976,1.06927,0.97827,0.97604,0.73227,0.57833,0.66132,0.44354,1.00573,0.91362,0.9604,0.00022725,0.00022725,0.00022725
2,34.0105,1.0655,0.89798,0.97658,0.78671,0.56795,0.67333,0.42148,1.02566,0.84631,0.96249,0.000371799,0.000371799,0.000371799
3,52.8804,1.03949,0.8587,0.97014,0.80768,0.61925,0.69993,0.4404,1.01254,0.79358,0.96289,0.000422758,0.000422758,0.000422758
4,73.1121,1.00366,0.82153,0.96075,0.80065,0.71218,0.74353,0.47732,0.97322,0.7278,0.94957,0.000369054,0.000369054,0.000369054
5,92.9992,0.97284,0.783,0.95139,0.83418,0.67274,0.75983,0.49298,0.92233,0.69138,0.93425,0.000189072,0.000189072,0.000189072
1,23.1466,0.97601,0.7618,0.94821,0.75076,0.72306,0.77403,0.52489,0.92608,0.66693,0.93422,0.00022725,0.00022725,0.00022725
2,45.3144,0.98788,0.73868,0.95166,0.82887,0.69482,0.78315,0.49823,0.92999,0.67739,0.93922,0.000371799,0.000371799,0.000371799
3,66.302,0.97638,0.72201,0.94925,0.75199,0.7356,0.78469,0.5116,0.93867,0.6559,0.94157,0.000422758,0.000422758,0.000422758
4,86.0702,0.9446,0.69824,0.94247,0.85646,0.74324,0.81657,0.53488,0.89724,0.63146,0.9331,0.000369054,0.000369054,0.000369054
5,103.575,0.92543,0.6709,0.93545,0.84231,0.7769,0.83696,0.57694,0.87915,0.61816,0.92274,0.000189072,0.000189072,0.000189072
1,20.4355,0.9318,0.67394,0.93516,0.91053,0.71403,0.82587,0.55961,0.87313,0.6071,0.92223,0.00022725,0.00022725,0.00022725
2,40.5877,0.94097,0.66122,0.93718,0.84946,0.73349,0.80624,0.53404,0.93413,0.62193,0.94027,0.000371799,0.000371799,0.000371799
3,59.7316,0.94283,0.65739,0.93654,0.90995,0.71774,0.83154,0.54958,0.92081,0.60422,0.93112,0.000422758,0.000422758,0.000422758
4,80.4968,0.91697,0.64462,0.93437,0.83756,0.75827,0.82935,0.56735,0.86468,0.59568,0.92114,0.000369054,0.000369054,0.000369054
5,97.3312,0.89036,0.61852,0.92542,0.92831,0.71889,0.84877,0.6012,0.86443,0.57949,0.91186,0.000189072,0.000189072,0.000189072
1,23.0723,0.90388,0.63428,0.92617,0.87519,0.78458,0.84587,0.58883,0.83958,0.57366,0.9129,0.00022725,0.00022725,0.00022725
2,45.2229,0.90993,0.62237,0.92809,0.78807,0.7575,0.81539,0.54285,0.89189,0.60457,0.9256,0.000371799,0.000371799,0.000371799
3,66.1201,0.9195,0.6185,0.93004,0.94513,0.71362,0.86261,0.58125,0.86525,0.57465,0.92665,0.000422758,0.000422758,0.000422758
4,85.8021,0.88808,0.60335,0.92669,0.92008,0.77649,0.86753,0.59692,0.85274,0.56128,0.91839,0.000369054,0.000369054,0.000369054
5,103.538,0.86821,0.58277,0.91853,0.89543,0.80005,0.87047,0.62025,0.84898,0.55216,0.9125,0.000189072,0.000189072,0.000189072
1,21.4462,0.87785,0.59854,0.91917,0.87875,0.78425,0.85277,0.58771,0.83607,0.5586,0.9135,0.00022725,0.00022725,0.00022725
2,40.4342,0.89279,0.59777,0.92301,0.78269,0.7872,0.83368,0.55681,0.8681,0.56764,0.9201,0.000371799,0.000371799,0.000371799
