epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.0005,1.53805,2.55679,1.15807,0.02741,0.39488,0.15261,0.09343,1.37863,2.96003,1.05981,0.000297389,0.000297389,0.000297389
2,80.8399,1.33816,1.35456,1.08711,0.74095,0.14543,0.26959,0.15516,1.40774,1.95023,1.09847,0.000481512,0.000481512,0.000481512
3,106.122,1.26897,1.21843,1.06581,0.51452,0.30474,0.3502,0.20833,1.23165,1.15767,1.03056,0.000545647,0.000545647,0.000545647
4,126.797,1.21234,1.11223,1.03951,0.59737,0.39818,0.41557,0.25436,1.14284,1.01994,1.00498,0.000369054,0.000369054,0.000369054
5,145.335,1.16421,1.04341,1.02355,0.57013,0.41338,0.45159,0.27577,1.10733,0.90552,0.99445,0.000189072,0.000189072,0.000189072
1,40.6095,1.12882,0.94877,1.01606,0.59267,0.49601,0.55306,0.34689,1.11031,0.88117,1.01431,0.000297389,0.000297389,0.000297389
2,81.7206,1.13243,0.92637,1.01762,0.60202,0.52164,0.55374,0.32903,1.17583,0.93142,1.04541,0.000481512,0.000481512,0.000481512
3,110.019,1.11694,0.90309,1.01545,0.77359,0.52329,0.61124,0.38932,1.07809,0.81262,0.99904,0.000545647,0.000545647,0.000545647
4,132.35,1.08786,0.84931,1.00126,0.72777,0.56605,0.64392,0.41161,1.06529,0.79549,0.99581,0.000369054,0.000369054,0.000369054
5,152.961,1.05694,0.81442,0.99117,0.79093,0.59439,0.67744,0.43037,1.01156,0.72029,0.97452,0.000189072,0.000189072,0.000189072
1,45.2739,1.03603,0.7733,0.9875,0.72306,0.58102,0.6509,0.41417,1.03491,0.74597,0.99305,0.000297389,0.000297389,0.000297389
2,87.1893,1.04949,0.78722,0.98969,0.80972,0.57831,0.67231,0.44151,1.03827,0.74169,0.98909,0.000481512,0.000481512,0.000481512
3,116.698,1.04645,0.78282,0.99131,0.84184,0.58599,0.67664,0.43798,1.03645,0.73435,0.99005,0.000545647,0.000545647,0.000545647
4,139.083,1.02826,0.7538,0.98028,0.82899,0.59611,0.70161,0.4678,1.00151,0.70192,0.97893,0.000369054,0.000369054,0.000369054
5,157.949,1.00348,0.72709,0.97458,0.80823,0.63506,0.74071,0.48671,0.94922,0.66265,0.96358,0.000189072,0.000189072,0.000189072
1,41.6491,0.98403,0.69849,0.96977,0.79824,0.59924,0.70222,0.45483,0.99848,0.69419,0.98329,0.000297389,0.000297389,0.000297389
2,81.7863,1.00751,0.72004,0.97438,0.78566,0.62334,0.70314,0.45628,1.00814,0.70906,0.98523,0.000481512,0.000481512,0.000481512
3,107.883,1.00637,0.72194,0.97562,0.89837,0.5616,0.71917,0.46533,0.9891,0.69371,0.97092,0.000545647,0.000545647,0.000545647
4,130.681,0.99284,0.70338,0.96954,0.78914,0.63611,0.72739,0.484,0.95694,0.66528,0.96498,0.000369054,0.000369054,0.000369054
5,148.803,0.9719,0.67986,0.96356,0.84838,0.63508,0.75698,0.50592,0.92179,0.62445,0.94652,0.000189072,0.000189072,0.000189072
1,45.825,0.94984,0.6566,0.95792,0.85645,0.63441,0.72921,0.47995,0.98152,0.65148,0.98325,0.000297389,0.000297389,0.000297389
2,88.1028,0.97449,0.68061,0.96235,0.7904,0.64071,0.74424,0.49224,0.9818,0.65666,0.96551,0.000481512,0.000481512,0.000481512
3,117.047,0.96461,0.68014,0.96302,0.84398,0.62063,0.7386,0.49226,0.95987,0.65726,0.97022,0.000545647,0.000545647,0.000545647
4,139.375,0.96907,0.67161,0.9627,0.82421,0.65292,0.75318,0.50923,0.95075,0.63037,0.9605,0.000369054,0.000369054,0.000369054
5,158.305,0.95046,0.64795,0.95712,0.83851,0.63938,0.76561,0.52395,0.8947,0.59289,0.94331,0.000189072,0.000189072,0.000189072
1,40.5052,0.9213,0.62802,0.94895,0.80042,0.6858,0.75708,0.50604,0.94234,0.60744,0.9639,0.000297389,0.000297389,0.000297389
2,81.7218,0.93632,0.64262,0.95091,0.81199,0.69231,0.77368,0.51663,0.95448,0.6322,0.96063,0.000481512,0.000481512,0.000481512
3,112.132,0.94086,0.6522,0.95403,0.80296,0.68689,0.7798,0.49623,0.95705,0.64827,0.96254,0.000545647,0.000545647,0.000545647
4,133.831,0.94475,0.64751,0.95436,0.82252,0.63435,0.75536,0.49863,0.91929,0.61289,0.9545,0.000369054,0.000369054,0.000369054
5,152.78,0.927,0.62823,0.94939,0.84096,0.65205,0.78678,0.53801,0.88347,0.57121,0.93974,0.000189072,0.000189072,0.000189072
1,46.2517,0.89912,0.60449,0.94118,0.79237,0.6824,0.76433,0.51073,0.92594,0.58743,0.95648,0.000297389,0.000297389,0.000297389
2,86.3399,0.91622,0.62135,0.94401,0.82379,0.64602,0.75942,0.50208,0.95127,0.62833,0.95531,0.000481512,0.000481512,0.000481512
3,110.158,0.92089,0.63026,0.94617,0.807,0.67883,0.77256,0.506,0.93485,0.62449,0.96203,0.000545647,0.000545647,0.000545647
