model,mAP50,mAP50-95,precision,recall,fitness,inference_time,nms_time,total_time,round_num
round_1,0.5683095972525278,0.3658180632652783,0.8148063472084832,0.4321325858843073,0.38606721666400334,0.0,0.0,0.0,1.0
round_2,0.7073583327566993,0.4787384255928868,0.8764832671842961,0.607638303741937,0.5016004163092681,0.0,0.0,0.0,2.0
round_3,0.7810576732377774,0.5385574954539366,0.8333794180709714,0.7078200401994842,0.5628075132323207,0.0,0.0,0.0,3.0
round_4,0.7833150229992601,0.5453138569538911,0.9020583524690521,0.6874873254648451,0.5691139735584281,0.0,0.0,0.0,4.0
round_5,0.79092940248633,0.5539557240728773,0.8809572048389799,0.6962920572598066,0.5776530919142226,0.0,0.0,0.0,5.0
round_6,0.8075389008552037,0.5727511985782048,0.8984249660938078,0.7097417081693438,0.5962299688059047,0.0,0.0,0.0,6.0
round_7,0.8256274993454819,0.5830080428869763,0.9104424432424983,0.7338969947552233,0.6072699885328268,0.0,0.0,0.0,7.0
round_8,0.8263156198892233,0.5886886727010229,0.9022792361959654,0.7580485093698698,0.6124513674198429,0.0,0.0,0.0,8.0
round_9,0.8288504732940137,0.5953169411254301,0.9331532933067065,0.7261461204818086,0.6186702943422885,0.0,0.0,0.0,9.0
round_10,0.841912990728596,0.6061656787400549,0.8854583698166005,0.7792219400966418,0.629740409938909,0.0,0.0,0.0,10.0
round_11,0.8556661375298938,0.6126107769031036,0.8920279635150882,0.794869725958096,0.6369163129657827,0.0,0.0,0.0,11.0
round_12,0.8563250458673043,0.6151214393724562,0.8778262636875904,0.79969354138002,0.6392418000219411,0.0,0.0,0.0,12.0
round_13,0.8476206507231216,0.6096736360560081,0.9385330967231692,0.7395993239874254,0.6334683375227195,0.0,0.0,0.0,13.0
round_14,0.8629687208134033,0.6145380581189278,0.9117630428344453,0.7941221651331405,0.6393811243883754,0.0,0.0,0.0,14.0
round_15,0.8620139822011764,0.6214872454706334,0.9100633995099775,0.8038181006512005,0.6455399191436877,0.0,0.0,0.0,15.0
round_16,0.8609263015558686,0.6258711243928599,0.9128825386687378,0.7930100495498383,0.6493766421091608,0.0,0.0,0.0,16.0
round_17,0.8633249246016221,0.6252096689952784,0.9239787545923026,0.8061849904062817,0.6490211945559128,0.0,0.0,0.0,17.0
round_18,0.8739681272296433,0.629091331776291,0.9192201263250166,0.8203878063426913,0.6535790113216262,0.0,0.0,0.0,18.0
round_19,0.8660807060499172,0.6260971379054487,0.9238669089367434,0.8055423376796712,0.6500954947198957,0.0,0.0,0.0,19.0
round_20,0.8734305072096318,0.6273703882085533,0.9214315049784395,0.8048122314528661,0.6519764001086611,0.0,0.0,0.0,20.0
round_21,0.8690866636389731,0.6305359353600393,0.915351200786564,0.8162975967410558,0.6543910081879327,0.0,0.0,0.0,21.0
round_22,0.8680698762906341,0.631078494372761,0.9048353377468369,0.8161211637535202,0.6547776325645482,0.0,0.0,0.0,22.0
round_23,0.879229748325218,0.6427752085619444,0.9203032365520499,0.8175659870780968,0.6664206625382718,0.0,0.0,0.0,23.0
round_24,0.8808310528806622,0.6410901977954313,0.8972033607689566,0.827961890141548,0.6650642833039544,0.0,0.0,0.0,24.0
round_25,0.8819637734496814,0.6446737975236212,0.908589847934228,0.8007302056509297,0.6684027951162272,0.0,0.0,0.0,25.0
round_26,0.8908292187027864,0.6394261330711938,0.9619720407430875,0.7856649988030787,0.6645664416343531,0.0,0.0,0.0,26.0
round_27,0.9037830861833596,0.6494583723963986,0.9090818396821192,0.8113053345134272,0.6748908437750947,0.0,0.0,0.0,27.0
round_28,0.9000592544186607,0.6430895534206766,0.9224559479828179,0.802223163070449,0.6687865235204751,0.0,0.0,0.0,28.0
round_29,0.9088363300863448,0.6446551856330033,0.929107528791869,0.8324609615026438,0.6710733000783374,0.0,0.0,0.0,29.0
round_30,0.8944848637069904,0.6522941263785986,0.8889172227601334,0.8288435671142588,0.6765132001114378,0.0,0.0,0.0,30.0
round_31,0.9123907644084228,0.6566117260688219,0.9288339536096153,0.822828546301308,0.682189629902782,0.0,0.0,0.0,31.0
round_32,0.8921657161964093,0.6509695563419273,0.9215560599557924,0.813807706192182,0.6750891723273755,0.0,0.0,0.0,32.0
round_33,0.8971787949855503,0.6462902550748151,0.9501441003118707,0.8163648804842467,0.6713791090658886,0.0,0.0,0.0,33.0
round_34,0.8959791188359753,0.6384777600950587,0.9264453778628571,0.7902278975712954,0.6642278959691504,0.0,0.0,0.0,34.0
round_35,0.8874692010119548,0.6420033415979495,0.9384351928087911,0.7915535640361886,0.6665499275393499,0.0,0.0,0.0,35.0
round_36,0.8840218179507608,0.6475923691909528,0.9473593840620446,0.7974946557473014,0.6712353140669336,0.0,0.0,0.0,36.0
round_37,0.8944416784774295,0.6515716819954636,0.9216427787674097,0.8191844057546672,0.6758586816436603,0.0,0.0,0.0,37.0
round_38,0.8905228514834397,0.6494133649602918,0.9376874154070388,0.8062555126951745,0.6735243136126066,0.0,0.0,0.0,38.0
round_39,0.8940465105305412,0.652961069334999,0.9272328897702259,0.8095547118576814,0.6770696134545533,0.0,0.0,0.0,39.0
round_40,0.8796273703621489,0.6426474604590128,0.9069081976401769,0.8174426740292452,0.6663454514493264,0.0,0.0,0.0,40.0
round_41,0.8853961456900017,0.6468910616336147,0.9522699014388794,0.8007244194808149,0.6707415700392534,0.0,0.0,0.0,41.0
round_42,0.8849620384426901,0.6436433556939122,0.9325367878251327,0.8090676913640041,0.66777522396879,0.0,0.0,0.0,42.0
round_43,0.8783585889767694,0.6427307874022544,0.9162550088284375,0.7895187885234236,0.6662935675597059,0.0,0.0,0.0,43.0
round_44,0.8862004632365822,0.6412233502018714,0.8597234317915806,0.8432766820749334,0.6657210615053424,0.0,0.0,0.0,44.0
round_45,0.8844234847835754,0.6431555023276172,0.9388712086589727,0.8048131052026708,0.667282300573213,0.0,0.0,0.0,45.0
round_46,0.8958734540856337,0.6479038207149568,0.945776360869643,0.7907404829665597,0.6727007840520245,0.0,0.0,0.0,46.0
round_47,0.8939530816797847,0.6531868927716924,0.8956149862088915,0.8455239098608712,0.6772635116625016,0.0,0.0,0.0,47.0
round_48,0.8848514374597053,0.6419891223852211,0.9231266040766479,0.8271030343668517,0.6662753538926695,0.0,0.0,0.0,48.0
round_49,0.8929699555735724,0.6512116632823044,0.9522585163806205,0.7924134222304274,0.6753874925114313,0.0,0.0,0.0,49.0
round_50,0.8882439007528635,0.6461712349358872,0.9054889057986213,0.841837360969137,0.6703785015175849,0.0,0.0,0.0,50.0
round_51,0.887358841759159,0.6451475358486415,0.9070605395852175,0.8422797948029624,0.6693686664396933,0.0,0.0,0.0,51.0
round_52,0.8921162596921006,0.6529140290221342,0.9096995726412496,0.8361091753741684,0.676834252089131,0.0,0.0,0.0,52.0
round_53,0.8830632476073055,0.6475882031761748,0.9002114856547285,0.8398161249017324,0.6711357076192879,0.0,0.0,0.0,53.0
round_54,0.8885880793125586,0.645470320148416,0.9174099211893395,0.8393781302283274,0.6697820960648303,0.0,0.0,0.0,54.0
